"species","nonnative_area_km2"
"Arnoseris minima",36161.3982979651
"Artabotrys hexapetalus",210.231904446125
"Artemisia annua",2850151.40973213
"Artemisia arborescens",487139.951206418
"Artemisia austriaca",106761.741403517
"Artemisia campestris",5142.18010391754
"Artemisia dracunculus",1121087.95024173
"Artemisia gmelinii",4645.08547370986
"Artemisia latifolia",0
"Artemisia pontica",146795.393511681
"Artemisia rubripes",5779.1789113343
"Artemisia scoparia",19121.0345434259
"Artemisia stelleriana",331113.331694195
"Artemisia tanacetifolia",10558.5477249909
"Artemisia umbelliformis",0
"Arthraxon hispidus",768402.710410682
"Arthraxon lanceolatus",0
"Arthraxon lancifolius",9382.41150598798
"Artocarpus gomezianus",0
"Arum italicum",1146084.80622277
"Arum maculatum",67185.3226128247
"Aruncus dioicus",924303.374275517
"Arundina graminifolia",153953.19522327
"Arundo donax",3999209.10174594
"Asarina procumbens",80439.4496695972
"Asarum europaeum",274417.05770736
"Asclepias tuberosa",47626.3786051027
"Asperugo procumbens",680931.151485497
"Asperula arvensis",4372.35438261988
"Asperula orientalis",0
"Asphodelus albus",0
"Asphodelus fistulosus",1344855.4578514
"Asphodelus tenuifolius",13417.0293279735
"Asplenium ceterach",14069.3928615221
"Asplenium polyodon",0
"Asplenium ruta-muraria",576.922695278402
"Asplenium scolopendrium",9008.19970038607
"Aster altaicus",0
"Aster amellus",55356.8533023558
"Aster tataricus",105013.153710634
"Astragalus arenarius",8967.37286191008
"Astragalus chinensis",0
"Astragalus cicer",929330.653637293
"Astragalus contortuplicatus",0
"Astragalus danicus",24263.3337463952
"Astragalus falcatus",6547.38300307098
"Astragalus glycyphyllos",189230.254986651
"Astragalus hamosus",44294.4557413642
"Astragalus onobrychis",307890.372463997
"Astragalus sesameus",4312.47363806028
"Astrantia major",502085.331927104
"Athyrium filix-femina",7582.14525666322
"Atocion armeria",1649874.5480681
"Atriplex australasica",2754.7630288378
"Atriplex glauca",8945.53669910419
"Atriplex hortensis",1060899.1378515
"Atriplex laciniata",18794.5247620646
"Atriplex littoralis",32438.9565597895
"Atriplex longipes",973.668881934589
"Atriplex oblongifolia",78013.6200963455
"Atriplex prostrata",874178.006407399
"Atriplex rosea",80088.9114718578
"Atriplex sagittata",312339.302320405
"Aubrieta columnae",12746.8658492825
"Aurinia petraea",4642.02003397248
"Aurinia saxatilis",823834.377452853
"Aurinia sinuata",3204.48633635402
"Avena strigosa",366405.330677065
"Avenella flexuosa",2948.87747481896
"Avenula pubescens",4130.16458757543
"Avicennia marina",3181.42409676637
"Bacopa caroliniana",9411.44609373663
"Bacopa monnieri",108522.25031106
"Baldellia ranunculoides",400.56202746471
"Bambusa vulgaris",568745.133348942
"Barbarea stricta",252307.986360711
"Barbarea verna",673996.648669227
"Barbarea vulgaris",3188608.88355346
"Barleria strigosa",2955.50807068251
"Barringtonia asiatica",46477.5813016503
"Basella alba",404358.643399703
"Basilicum polystachyon",0
"Bassia hyssopifolia",210192.920337933
"Bassia laniflora",85814.1404982933
"Bassia scoparia",3228165.28068377
"Batis maritima",11816.8583410398
"Bauhinia multinervia",0
"Beckmannia eruciformis",3034.70831937364
"Begonia coccinea",0
"Bellevalia ciliata",9966.97738822207
"Bellevalia romana",12505.6254347572
"Bellevalia trifoliata",16864.1780853014
"Berberis canadensis",0
"Berberis japonica",516536.940822159
"Berberis vulgaris",1328089.56539792
"Bergbambos tessellata",0
"Bergenia crassifolia",396507.710941513
"Bergia capensis",27345.0146243645
"Bertholletia excelsa",0
"Berula erecta",126351.17691918
"Betonica officinalis",10457.7195345596
"Bidens cernua",41373.884008439
"Bidens laevis",24088.8937445604
"Bidens radiata",33090.1681297411
"Bidens subalternans",455264.011124039
"Bidens tripartita",287740.509178467
"Bifora radians",103248.186931232
"Bifora testiculata",10647.47507716
"Bignonia aequinoctialis",3783.53861012155
"Bistorta officinalis",81728.6319836279
"Blackstonia perfoliata",67925.7988646051
"Blechnum orientale",1473.07764573866
"Blechnum spicant",225167.041248525
"Blechnum spinulosum",546.527119884592
"Blechnum zeelandicum",0
"Blitum bonus-henricus",341869.466041658
"Blitum capitatum",118785.633238193
"Blitum virgatum",227615.158513165
"Blyxa aubertii",15462.80514342
"Bocconia frutescens",8914.07594388191
"Boerhavia diandra",11982.8027102844
"Boerhavia diffusa",408818.578494866
"Bolboschoenus maritimus",1913.94487382907
"Bolboschoenus planiculmis",0
"Bonamia semidigyna",0
"Bonnaya antipoda",7722.08028147079
"Bontia daphnoides",0
"Borago officinalis",2689523.9067832
