"taxon_name","wcvp_accepted_id","status","redlistCategory"
"Heliotropium indicum",2844124,"naturalized",NA
"Datura innoxia",2757799,"naturalized",NA
"Desmodium intortum",2762424,"naturalized","Least Concern"
"Mirabilis jalapa",2502156,"naturalized",NA
"Brassica juncea",2682298,"naturalized",NA
"Spartium junceum",2597714,"naturalized",NA
"Physalis lagascae",2549409,"naturalized","Least Concern"
"Nephelium lappaceum",2382804,"naturalized","Least Concern"
"Olyra latifolia",426184,"naturalized",NA
"Persicaria limbata",2572644,"naturalized","Least Concern"
"Corrigiola litoralis",2738255,"naturalized","Least Concern"
"Aristolochia littoralis",2651580,"naturalized",NA
"Hymenocallis littoralis",278844,"naturalized",NA
"Urena lobata",2449399,"naturalized","Least Concern"
"Malva longiflora",2914374,"naturalized",NA
"Glinus lotoides",2826558,"naturalized","Least Concern"
"Phaseolus lunatus",2538247,"naturalized","Least Concern"
"Pseudognaphalium luteoalbum",3091422,"naturalized",NA
"Phyllanthus maderaspatensis",154278,"naturalized","Least Concern"
"Plantago major",2569743,"naturalized","Least Concern"
"Cucurbita maxima",2747160,"naturalized",NA
"Spergularia media",2487471,"naturalized","Least Concern"
"Datura metel",2757816,"naturalized",NA
"Argemone mexicana",2650509,"naturalized",NA
"Dichondra micrantha",485855,"naturalized","Least Concern"
"Tagetes minuta",3119212,"naturalized",NA
"Schinus molle",2480199,"naturalized","Least Concern"
"Falcataria falcata",3010977,"naturalized","Least Concern"
"Spondias mombin",2480696,"naturalized","Least Concern"
"Bauhinia monandra",2671869,"naturalized","Data Deficient"
"Polypogon monspeliensis",438098,"naturalized","Least Concern"
"Vernicia montana",212846,"naturalized","Least Concern"
"Calopogonium mucunoides",2693568,"naturalized",NA
"Jatropha multifida",104773,"naturalized","Least Concern"
"Vigna mungo",2451211,"naturalized",NA
"Fumaria muralis",2815468,"naturalized",NA
"Rumex nepalensis",2424706,"naturalized",NA
"Synedrella nodiflora",3120699,"naturalized",NA
"Zostera noltii",309045,"naturalized","Least Concern"
"Paramollugo nudicaulis",3010125,"naturalized",NA
"Atriplex nummularia",2665554,"naturalized",NA
"Senna obtusifolia",2490482,"naturalized","Least Concern"
"Anacardium occidentale",2635912,"naturalized","Least Concern"
"Senna occidentalis",2490483,"naturalized","Least Concern"
"Nasturtium officinale",2381026,"naturalized","Least Concern"
"Neptunia oleracea",2383300,"naturalized","Least Concern"
"Portulaca oleracea",2566490,"naturalized","Least Concern"
"Sonchus oleraceus",2929055,"naturalized",NA
"Corchorus olitorius",2736427,"naturalized",NA
"Chenopodium opulifolium",2717608,"naturalized",NA
"Bixa orellana",22274,"naturalized","Least Concern"
"Sidastrum paniculatum",2602141,"naturalized",NA
"Galinsoga parviflora",3125116,"naturalized",NA
"Malva parviflora",2503517,"naturalized",NA
"Adenanthera pavonina",2621330,"naturalized","Least Concern"
"Mesosphaerum pectinatum",126186,"naturalized",NA
"Physalis peruviana",2549655,"naturalized",NA
"Neustanthus phaseoloides",2383113,"naturalized",NA
"Nicandra physalodes",2383030,"naturalized",NA
"Gomphocarpus physocarpus",505708,"naturalized",NA
"Mimosa pigra",2373741,"naturalized","Least Concern"
"Bidens pilosa",2925686,"naturalized",NA
"Schkuhria pinnata",3118165,"naturalized",NA
"Kalanchoe pinnata",2336037,"naturalized",NA
"Vanilla planifolia",211955,"naturalized","Endangered"
"Gnaphalium polycaulon",3093315,"naturalized","Least Concern"
"Medicago polymorpha",2369061,"naturalized",NA
"Tridax procumbens",3124823,"naturalized",NA
"Eclipta prostrata",2901074,"naturalized","Least Concern"
"Centrosema pubescens",2709135,"naturalized",NA
"Caesalpinia pulcherrima",2690052,"naturalized","Least Concern"
"Alternanthera pungens",2631391,"naturalized",NA
"Ipomoea purpurea",482252,"naturalized",NA
"Vigna radiata",2451337,"naturalized","Least Concern"
"Hydrocotyle ranunculoides",2856276,"naturalized","Least Concern"
"Canavalia regalis",2696277,"naturalized",NA
"Delonix regia",2759139,"naturalized","Least Concern"
"Sida rhombifolia",2601837,"naturalized",NA
"Nicotiana rustica",2382315,"naturalized",NA
"Samanea saman",2592096,"naturalized","Least Concern"
"Digitaria sanguinalis",409361,"naturalized",NA
"Sapindus saponaria",2582258,"naturalized","Least Concern"
"Cannabis sativa",2696480,"naturalized",NA
"Medicago sativa",2369031,"naturalized","Least Concern"
"Vicia sativa",2452750,"naturalized","Least Concern"
"Lathyrus sativus",2351466,"naturalized",NA
"Richardia scabra",178500,"naturalized",NA
"Mimosa scabrella",2373462,"naturalized",NA
"Dysphania schraderiana",2780245,"naturalized",NA
"Senna septemtrionalis",2491719,"naturalized","Least Concern"
"Alternanthera sessilis",2631425,"naturalized","Least Concern"
"Senna siamea",2591085,"naturalized","Least Concern"
"Agave sisalana",294215,"naturalized",NA
"Papaver somniferum",2561497,"naturalized",NA
"Senna spectabilis",2491716,"naturalized","Least Concern"
"Cantinoa americana",472063,"naturalized",NA
"Amaranthus spinosus",2633107,"naturalized",NA
"Datura stramonium",2757848,"naturalized",NA
"Pistia stratiotes",156674,"naturalized","Least Concern"
"Vigna subterranea",2451284,"naturalized","Least Concern"
"Cosmos sulphureus",3117604,"naturalized",NA
"Heliotropium supinum",2844523,"naturalized",NA
"Malva sylvestris",2504118,"naturalized",NA
"Phyllanthus tenellus",155007,"naturalized",NA
"Schinus terebinthifolia",2480191,"naturalized",NA
"Cascabela thevetia",34836,"naturalized","Least Concern"
"Desmodium tortuosum",2762879,"naturalized",NA
"Amaranthus tricolor",2633132,"naturalized",NA
"Corchorus tridens",2736494,"naturalized",NA
"Corchorus trilocularis",2736497,"naturalized",NA
"Hibiscus trionum",2850654,"naturalized",NA
"Lipotriche marlothiana",3216745,"naturalized",NA
"Ipomoea muricata",481577,"naturalized",NA
"Desmodium uncinatum",2762906,"naturalized",NA
"Vigna unguiculata",2452871,"naturalized",NA
"Stachytarpheta urticifolia",196016,"naturalized",NA
"Linum usitatissimum",2353429,"naturalized",NA
"Inga vera",2865854,"naturalized","Least Concern"
"Mollugo verticillata",2501530,"naturalized",NA
"Vitis vinifera",2457006,"naturalized","Least Concern"
"Desmanthus virgatus",2761995,"naturalized","Least Concern"
"Amaranthus viridis",2633159,"naturalized",NA
"Pseudoconyza viscosa",3113462,"naturalized",NA
"Foeniculum vulgare",2813604,"naturalized",NA
"Phaseolus vulgaris",2538166,"naturalized","Least Concern"
"Amaranthus albus",2632650,"naturalized",NA
"Symphoricarpos albus",2486129,"naturalized",NA
"Ailanthus altissima",2626815,"naturalized","Least Concern"
"Agave americana",293578,"naturalized","Least Concern"
"Phytolacca americana",2562777,"naturalized",NA
"Elaeagnus angustifolia",2784980,"naturalized","Least Concern"
"Sisyrinchium angustifolium",324934,"naturalized",NA
"Prunus armeniaca",2901800,"naturalized","Data Deficient"
"Dysphania atriplicifolia",3273694,"naturalized",NA
"Impatiens balfourii",2862177,"naturalized",NA
"Amaranthus blitoides",2632706,"naturalized",NA
"Lepidium bonariense",2338282,"naturalized",NA
"Cuscuta campestris",485281,"naturalized",NA
"Elodea canadensis",309448,"naturalized","Least Concern"
"Blitum capitatum",2677596,"naturalized",NA
"Prunus cerasus",2959193,"naturalized",NA
"Buddleja davidii",2685390,"naturalized",NA
"Amaranthus deflexus",2632798,"naturalized",NA
"Cedrus deodara",382693,"naturalized","Least Concern"
"Lepidium didymum",2337750,"naturalized",NA
"Prunus domestica",2959531,"naturalized","Data Deficient"
"Prunus insititia",2960005,"naturalized","Endangered"
"Prunus amygdalus",2917141,"naturalized",NA
"Carpobrotus edulis",2701245,"naturalized",NA
"Azolla filiculoides",3145489,"naturalized",NA
"Bidens frondosa",2925678,"naturalized","Least Concern"
"Amorpha fruticosa",2634148,"naturalized",NA
"Gomphocarpus fruticosus",505642,"naturalized",NA
"Chamaemelum fuscatum",3112344,"naturalized",NA
"Bougainvillea glabra",2680754,"naturalized","Least Concern"
"Eucalyptus globulus",73008,"naturalized","Least Concern"
"Punica granatum",2536844,"naturalized","Least Concern"
"Cardiospermum halicacabum",2700789,"naturalized","Least Concern"
"Inula helenium",2901737,"naturalized",NA
"Eleusine indica",410636,"naturalized","Least Concern"
"Sporobolus indicus",444243,"naturalized","Least Concern"
"Cyclospermum leptophyllum",2750155,"naturalized",NA
"Antirrhinum majus",2642724,"naturalized",NA
"Lemna minuta",109312,"naturalized","Least Concern"
"Dysphania multifida",2780238,"naturalized",NA
"Cymbalaria muralis",2750549,"naturalized",NA
"Erucastrum nasturtiifolium",2798870,"naturalized",NA
"Acer negundo",2616024,"naturalized","Least Concern"
"Xanthium orientale",2916928,"naturalized",NA
"Iris pallida",322201,"naturalized",NA
"Veronica peregrina",2463306,"naturalized","Least Concern"
"Veronica persica",2463021,"naturalized",NA
"Oxalis pes-caprae",2393938,"naturalized",NA
"Pinus pinea",380351,"naturalized","Least Concern"
"Robinia pseudoacacia",2428246,"naturalized","Least Concern"
"Physalis pubescens",2549637,"naturalized","Least Concern"
"Brassica rapa",2682652,"naturalized",NA
"Amaranthus retroflexus",2633061,"naturalized",NA
"Alcea rosea",2627710,"naturalized",NA
"Armoracia rusticana",2652952,"naturalized","Least Concern"
"Bassia scoparia",2670858,"naturalized",NA
"Glebionis segetum",3112325,"naturalized",NA
"Cupressus sempervirens",383232,"naturalized","Least Concern"
"Mentha spicata",125402,"naturalized","Least Concern"
"Aralia spinosa",14264,"naturalized","Least Concern"
"Xanthium spinosum",3119695,"naturalized",NA
"Symphyotrichum squamatum",3103888,"naturalized",NA
"Halophila stipulacea",308091,"naturalized","Least Concern"
"Oxalis stricta",2394269,"naturalized",NA
"Mentha suaveolens",125435,"naturalized","Least Concern"
"Abutilon theophrasti",2611008,"naturalized",NA
"Rubia tinctorum",180430,"naturalized",NA
"Helianthus tuberosus",2927111,"naturalized","Least Concern"
"Artemisia verlotiorum",2901499,"naturalized",NA
"Lepidium virginicum",2341702,"naturalized",NA
"Artemisia absinthium",2909600,"naturalized",NA
"Onopordum acanthium",3043390,"naturalized",NA
"Carduus acanthoides",3040774,"naturalized",NA
"Rumex acetosa",2424198,"naturalized",NA
"Rumex acetosella",2424185,"naturalized",NA
"Fumaria agraria",2815253,"naturalized",NA
"Chenopodium album",2716945,"naturalized",NA
"Sisymbrium altissimum",2476102,"naturalized",NA
"Alyssum alyssoides",2631899,"naturalized",NA
