"species","native_area_km2","threatened_area_km2","ratio","nonnative_area_km2"
"Arabidopsis halleri",461761.861913087,18.7195774262981,4.05394619398463e-05,10016.7984339825
"Araucaria araucana",192380.204171649,127199.395131053,0.661187546186202,213528.461862867
"Arbutus andrachne",196046.858292249,1978.77114906762,0.0100933581201176,14808.0605960568
"Arbutus unedo",1704128.57194188,9150.26016816785,0.00536946584830802,220259.263702865
"Arctium lappa",3704025.28674878,83866.8354674504,0.0226420796228054,1961382.73150834
"Arctium minus",3656604.68577432,76386.2544401283,0.0208899405334413,2940135.412474
"Arctium tomentosum",5058329.19346729,30824.1494672298,0.00609374129051119,839690.335126
"Aremonia agrimonoides",350855.469721416,37854.0629563341,0.107890759082054,2947.14532933477
"Arenaria leptoclados",1738905.51893472,10429.6037509253,0.0059977978316583,248335.773974386
"Argyranthemum foeniculaceum",2858.05097959384,2665.78619148978,0.932728705863959,10126.8148696115
"Argyreia nervosa",368156.261058932,364562.888511639,0.990239545194866,77037.3182874478
"Aria graeca",11192.5950082954,470.076444835455,0.0419988791238367,6024.97689819914
"Arisaema amurense",256643.950824591,2778.57117605469,0.0108265601707237,1923.13500397751
"Arisarum proboscideum",23674.7246998422,12032.4828187961,0.508241720710538,17615.6730114836
"Aristida adscensionis",2671978.41069807,24975.8945977411,0.00934734146718497,9083.80220994559
"Aristolochia clematitis",2807391.1369856,96829.1317678857,0.0344907877253807,187041.164562112
"Armeria maritima",2365208.5893157,89300.352050481,0.0377558040562999,25171.3906667576
"Arnoseris minima",1209477.47519533,454706.141787758,0.375952550678401,36161.3982979651
"Artabotrys hexapetalus",156502.130008195,23716.7358041256,0.151542575189767,210.231904446125
"Artemisia annua",1120617.16646256,38444.0983939354,0.0343061837213253,2850151.40973213
"Artemisia arborescens",869442.341185593,342099.306945661,0.393469803275471,487139.951206418
"Artemisia austriaca",1497044.75376816,9520.18074968761,0.00635931606301327,106761.741403517
"Artemisia campestris",5004095.86337519,76198.0848579799,0.015227143311876,5142.18010391754
"Artemisia dracunculus",3073634.84511037,18818.1453493161,0.00612244013931993,1121087.95024173
"Artemisia gmelinii",1181097.97284592,25167.4299748741,0.0213085032346909,4645.08547370986
"Artemisia pontica",629024.521480783,50172.5941840615,0.079762540999118,146795.393511681
"Artemisia rubripes",228712.786151447,3295.26763789392,0.0144078855115336,5779.1789113343
"Artemisia scoparia",1483653.312579,20466.9004423009,0.0137949346176593,19121.0345434259
"Artemisia stelleriana",480555.990403846,8687.7886678108,0.018078619019003,331113.331694195
"Artemisia tanacetifolia",784439.335742092,1225.42990796387,0.00156217294585897,10558.5477249909
"Arthraxon hispidus",462272.225476106,49919.3577585535,0.107986928496819,768402.710410682
"Arthraxon lancifolius",38555.7198781556,3423.86003069725,0.0888029076234964,9382.41150598798
"Arum italicum",2124166.76064157,1519.37448450619,0.000715280227832627,1146084.80622277
"Arum maculatum",1990973.24894804,41657.5793822062,0.0209232240584933,67185.3226128247
"Aruncus dioicus",3542498.83073718,442.539623073352,0.000124923011754745,924303.374275517
"Arundina graminifolia",775886.817937673,9455.16700262651,0.0121862709663744,153953.19522327
"Arundo donax",427980.37537654,93102.3560818995,0.217538843924765,3999209.10174594
"Asarina procumbens",130739.667709183,9634.81517527447,0.0736946585844635,80439.4496695972
"Asarum europaeum",3690507.9192553,106375.858094267,0.0288241782490831,274417.05770736
"Asclepias tuberosa",4105572.41942569,208949.672812215,0.0508941632166957,47626.3786051027
"Asperugo procumbens",2825933.93052316,402013.408385883,0.142258601322452,680931.151485497
"Asperula arvensis",1233836.69668334,301717.006919584,0.244535608100023,4372.35438261988
"Asphodelus fistulosus",891829.700611046,4114.86483149475,0.00461395805575371,1344855.4578514
"Asplenium ceterach",2755568.27653004,234715.87405071,0.0851787546147381,14069.3928615221
"Asplenium ruta-muraria",3826684.180146,72219.8571679954,0.0188726985996634,576.922695278402
"Asplenium scolopendrium",2956594.95394529,33275.9298127756,0.0112548151948823,9008.19970038607
"Aster amellus",1956431.56158677,401781.701706632,0.205364557388742,55356.8533023558
"Aster tataricus",491639.219675569,23750.1499260634,0.0483080864495229,105013.153710634
"Astragalus arenarius",328932.424283572,114273.421370176,0.347406983726423,8967.37286191008
"Astragalus cicer",1824707.44536412,265141.452321325,0.145306280738289,929330.653637293
"Astragalus danicus",2077785.75872413,225268.974850059,0.108417806746537,24263.3337463952
"Astragalus falcatus",124037.756555976,27241.6322019527,0.219623709411893,6547.38300307098
"Astragalus glycyphyllos",4021602.19349537,189834.877158047,0.0472037929224054,189230.254986651
"Astragalus onobrychis",1767967.62496908,55691.889686384,0.0315005144324167,307890.372463997
"Astrantia major",1621735.2242907,87291.544417549,0.0538260149437944,502085.331927104
"Athyrium filix-femina",6244484.56026784,24521.4672282891,0.00392690012948599,7582.14525666322
"Atocion armeria",1068212.28707307,330655.921766393,0.309541395252437,1649874.5480681
"Atriplex australasica",109736.170854027,63.7334593525381,0.000580788074310682,2754.7630288378
"Atriplex hortensis",93508.8731764874,34650.9753046381,0.37056349977866,1060899.1378515
"Atriplex laciniata",335202.141468499,46326.2271622131,0.138203852037642,18794.5247620646
"Atriplex littoralis",735617.452034846,2264.1661443373,0.00307791249116538,32438.9565597895
"Atriplex longipes",203153.095361459,18561.4011169632,0.0913665680748696,973.668881934589
"Atriplex oblongifolia",682691.523375813,1029.87478675492,0.00150855071652617,78013.6200963455
"Atriplex prostrata",3496946.8781782,41558.9964103825,0.0118843659506871,874178.006407399
"Atriplex rosea",671544.718980431,13042.8416808428,0.0194221491319968,80088.9114718578
"Aurinia saxatilis",915068.652221445,336033.296688838,0.367221952006633,823834.377452853
"Aurinia sinuata",38561.2280599601,21571.9134662435,0.559419773475592,3204.48633635402
"Avena strigosa",295223.331218746,20515.102780783,0.0694901134544217,366405.330677065
"Avenella flexuosa",4212804.37821111,28817.8286630278,0.0068405333065251,2948.87747481896
"Avenula pubescens",3335372.33881353,7875.14088106244,0.00236109797680453,4130.16458757543
"Avicennia marina",1033368.53594071,11332.617442074,0.0109666755353235,3181.42409676637
"Bacopa monnieri",1955771.78738264,9953.0979969285,0.00508908966840578,108522.25031106
"Baldellia ranunculoides",1294215.81857007,370947.811209224,0.28661974756194,400.56202746471
"Bambusa vulgaris",116183.69544253,482.790165074776,0.00415540376156814,568745.133348942
"Barbarea stricta",2017090.36639436,64807.5448443811,0.0321292223313859,252307.986360711
"Barbarea verna",639221.894932384,32844.7705977832,0.0513824242538774,673996.648669227
"Barbarea vulgaris",4083684.37366163,47.9958705360031,1.1753080342242e-05,3188608.88355346
"Barringtonia asiatica",587448.874817528,31589.8415431232,0.0537746226051342,46477.5813016503
"Basella alba",780877.297620576,8223.28555385619,0.0105308293363291,404358.643399703
"Bassia laniflora",316681.178328715,33189.3599791773,0.104803702431367,85814.1404982933
"Bassia scoparia",931216.189744466,25508.1392261692,0.0273922849571257,3228165.28068377
"Batis maritima",476998.164709074,300.408340572095,0.000629789300668101,11816.8583410398
"Bellevalia ciliata",15456.183591505,9718.54079013191,0.628780108142179,9966.97738822207
"Bellevalia trifoliata",101688.36446254,38939.0438336434,0.382925264256638,16864.1780853014
"Berberis japonica",72727.4900160965,31813.0700822155,0.437428406716283,516536.940822159
"Berberis vulgaris",3171804.94126139,2620.63380628115,0.000826227922212315,1328089.56539792
"Bergenia crassifolia",882274.827093893,109992.913467229,0.12466967218087,396507.710941513
"Bergia capensis",16545.3854924016,5142.86200625192,0.310833616334522,27345.0146243645
"Berula erecta",2680128.49864244,231056.244178361,0.0862108829093073,126351.17691918
"Betonica officinalis",4129021.35068978,53146.5922179825,0.012871474304463,10457.7195345596
"Bidens cernua",5849352.07299808,100355.918796657,0.017156758140773,41373.884008439
"Bidens radiata",1816350.91495887,96539.517979643,0.053150257026093,33090.1681297411
"Bidens subalternans",182916.199168573,349.449200607588,0.00191043331424977,455264.011124039
"Bidens tripartita",5132966.89456139,10255.1183043904,0.00199789293697884,287740.509178467
"Bifora radians",632302.186113126,33662.6763123429,0.05323827285696,103248.186931232
"Bifora testiculata",527760.353889552,138207.902940354,0.261876251070723,10647.47507716
"Bistorta officinalis",3505974.94099608,49234.5224944589,0.0140430331999095,81728.6319836279
"Blackstonia perfoliata",1688959.2339817,88804.8334783111,0.0525796192658568,67925.7988646051
"Blechnum orientale",967319.510695818,482.790165074776,0.000499101030979404,1473.07764573866
"Blechnum spicant",2925148.99776623,33443.0759356754,0.0114329478468324,225167.041248525
"Blitum bonus-henricus",1371406.1255434,456136.559639649,0.332605018414155,341869.466041658
"Blitum capitatum",781338.065418132,5062.97090526355,0.00647987232332538,118785.633238193
"Blitum virgatum",645317.064855215,192831.520298999,0.298816707012486,227615.158513165
"Blyxa aubertii",195957.662294394,19984.4865165178,0.101983695266248,15462.80514342
"Boerhavia diandra",1845218.63947143,5221.49354051488,0.00282974246456267,11982.8027102844
"Boerhavia diffusa",1865456.84326299,411.567638239311,0.000220625655171638,408818.578494866
"Bolboschoenus maritimus",3302704.73238979,74110.087397399,0.0224392107083015,1913.94487382907
"Bonnaya antipoda",567923.97259217,482.790165074776,0.000850096471313196,7722.08028147079
"Borago officinalis",1791116.19985309,41316.153983098,0.0230672660916622,2689523.9067832
"Brachypodium sylvaticum",3848197.60810676,65798.0306084366,0.0170984022415647,114188.303553958
"Brachypterum scandens",52734.5541402744,44283.7654323575,0.839748551102987,1294.79358065442
"Brasiliopuntia brasiliensis",369392.856466456,5909.16762573999,0.0159969732015556,33937.1633892775
"Brassica cretica",19763.0563267629,839.869120186508,0.0424969248834842,2755.83054896538
"Briza media",3832921.60086505,388057.61187104,0.101243294875496,76139.0021726834
"Bruguiera gymnorhiza",430554.064872937,6515.59176649305,0.0151330397227022,74603.1042889278
"Brunnera sibirica",207666.284968964,65802.9144591851,0.316868549312276,83668.7413966678
"Bryonia alba",1017542.63979029,43522.6036698311,0.0427722652279231,812156.294940276
"Buddleja curviflora",11939.9769266143,4986.40626847577,0.417622772566756,6992.51860791498
"Buddleja indica",11992.8356972148,1646.11408467464,0.137258120284007,7768.58524273252
"Buglossoides arvensis",3791768.7508377,71857.6920470847,0.0189509689986262,2103007.94771811
"Bulbostylis thouarsii",3969.44154740679,411.567638239311,0.103684015326586,2463.97102172498
"Bunias erucago",635582.431654552,16801.6101648059,0.0264349820385498,44368.4544512975
"Bunium bulbocastanum",704198.388498098,248340.21290088,0.352656604952669,25129.7685659213
"Buphthalmum salicifolium",875422.974358825,101312.338519355,0.11572958613927,17121.4653108579
"Bupleurum falcatum",1178301.98518312,15320.244761379,0.0130019680472642,6134.46327151237
"Bupleurum rotundifolium",1615428.56686503,225984.537772876,0.139891383876807,228750.733401056
"Bupleurum tenuissimum",829957.014982636,21557.3265094744,0.0259740277150684,3783.70640611242
"Butia capitata",7480.25429833054,7480.25429833054,1,1509.00936713522
"Butomus umbellatus",5414716.47651206,423215.854342452,0.0781602981759574,634354.719949485
"Buxus sempervirens",2361850.15982431,223489.597152015,0.0946247992161536,533932.256340456
"Caldesia parnassifolia",228368.218599143,83349.5001119944,0.364978544839895,21754.0914334445
"Calendula arvensis",2218988.14391882,61942.8675028528,0.0279149159370717,514009.113935101
"Calendula suffruticosa",116257.306553909,229.061964630424,0.00197030166464597,96.8918334245122
"Calepina irregularis",1500659.95649465,13415.5050346626,0.00893973679820145,204996.814172841
"Calibrachoa parviflora",661793.468053657,534.689926238228,0.00080794077313993,310831.806203865
"Calla palustris",5218877.2425152,705445.462320539,0.135171882675009,91077.4586579033
"Callistephus chinensis",57494.7152584377,953.6606018331,0.0165869262513331,88871.523429012
"Callitriche brutia",1031412.6567529,15731.6531871535,0.0152525306764027,133215.156946168
"Callitriche hamulata",1775776.30018193,18591.0277126345,0.0104692396844861,9153.02850241207
"Callitriche stagnalis",2141765.81507892,30731.0208598766,0.0143484505371771,735347.999320809
"Callitris oblonga",59774.7315456328,59581.8958253574,0.99677395924182,16611.6317787113
"Calluna vulgaris",5193831.16551523,178497.20885932,0.034367156569213,235817.401508769
"Calophyllum inophyllum",536633.257060626,6067.17425408156,0.0113059974838573,61167.6581912063
"Calophyllum soulattri",128271.725995649,482.790165074776,0.00376380812940141,2341.94058663495
"Caltha palustris",11775110.4359244,138018.41248761,0.0117211989848123,41174.6403818107
"Calystegia soldanella",1101672.29730773,119352.086498627,0.108337194999184,3624.95783086053
"Camelina alyssum",443206.849053864,377738.225174481,0.852284268577659,137657.16731066
"Camelina microcarpa",2597779.46276924,169701.971405893,0.0653257806669201,551594.062677999
"Camelina sativa",484389.556476785,35962.019173307,0.0742419374911328,565738.980529418
"Camellia japonica",404922.873421537,41794.4381318789,0.103215799539113,47727.9253150669
"Campanula cervicaria",1913771.30757496,714038.351448273,0.37310536981196,19749.7463146663
"Campanula cochleariifolia",497489.953284531,56604.1577388281,0.113779499194136,3402.54725212773
"Campanula erinus",1012808.7393401,442.539623073352,0.000436942934913548,2097.31719085872
"Campanula glomerata",6801117.35333897,299150.961292905,0.0439855608646481,1709340.37010523
"Campanula latifolia",2682607.75020119,177746.070551834,0.0662586882254789,306654.112823833
"Campanula patula",4381128.44244648,65394.3938465636,0.0149263813434437,418570.832718572
"Campanula persicifolia",4286138.15416562,76284.9810742354,0.0177980686413702,813206.511520073
"Campanula portenschlagiana",14488.8465015784,1248.59220943997,0.0861760947846298,184837.301007571
"Campanula rapunculus",2415626.90907475,42969.5229133424,0.0177881454921369,163550.940945079
"Campanula rotundifolia",5541743.65676328,354757.836581559,0.0640155623489737,429748.426714324
"Campanula sibirica",2000969.99579566,80133.4878229263,0.0400473210449427,1498.60233967158
"Campanula trachelium",4133866.87258405,45758.1384822594,0.0110690885538015,195235.088845344
"Canavalia rosea",1198658.00155329,18682.0060663015,0.0155857684527966,8780.65930789457
"Capsella bursa-pastoris",8444560.19518222,41698.9825643623,0.00493796972258572,7696186.88343004
"Capsella rubella",949538.541302333,18964.3301625271,0.0199721541966234,1369.71100650378
"Caragana frutex",863493.085689812,10603.4322774963,0.0122796956376618,167320.108664623
"Caragana halodendron",239793.902357658,9966.70769093492,0.0415636410807033,9320.70086793769
"Cardamine bulbifera",2192698.70237483,61449.1301875603,0.0280244294945799,4272.35505480214
"Cardamine chelidonia",90684.2811460398,11012.8929127324,0.121442137199026,17697.0836969674
"Cardamine flexuosa",2345001.67539773,54438.1986217161,0.0232145670482231,562957.507307495
"Cardamine glanduligera",253788.259849931,19235.8519902529,0.0757948850810804,1628.47029719398
"Cardamine hirsuta",2990044.08562078,15684.8236708841,0.00524568308083247,3548997.58574316
"Cardamine impatiens",3101606.33979758,37648.1715889476,0.0121382817367483,521749.09194803
"Cardamine pratensis",5242968.0499736,6039.37665645933,0.0011519003356295,24567.1858245778
"Cardamine quinquefolia",354130.719977323,64401.3414132074,0.18185753954735,2144.7906924717
"Cardamine trifolia",238292.374741334,93923.3457902261,0.394151704989216,18203.9879365399
"Cardiospermum halicacabum",2412734.47232616,482.790165074776,0.00020010082775885,671367.472751796
"Carduus acanthoides",2984639.01735164,64162.5587571141,0.0214975943100977,1193113.42134383
"Carduus nutans",3956032.42834954,50755.7714179366,0.0128299684942451,3904544.22572647
"Carduus tenuiflorus",1374596.05335084,18055.3620798709,0.0131350312230691,842294.683925767
"Carex acutiformis",2742010.45556317,34944.4051920513,0.0127440816723196,37670.0363369139
"Carex arenaria",894863.982134066,23978.2817063942,0.0267954484537538,5877.40047434108
"Carex argyi",2665.93478898428,2385.62699806525,0.894855721123688,2457.02480570589
"Carex brizoides",1102328.40220156,1630.70341355038,0.00147932631536442,279.019243405827
"Carex buekii",108126.520394806,855.758931827463,0.00791442218525857,683.644867690258
"Carex bushii",356082.238813826,158286.211311892,0.444521501098094,795.865807891856
"Carex buxbaumii",1974084.89172521,93122.1664221555,0.0471723211157214,6334.60687913624
"Carex caryophyllea",2865321.52864278,26180.2149917943,0.00913692049219871,295.202300699387
"Carex distans",2081655.09108172,397305.120402448,0.190860206431215,1401.39496813426
"Carex disticha",2316951.81963801,39476.7920697939,0.0170382447037511,9512.55955159181
"Carex divisa",1067490.15780984,16931.6180953157,0.0158611467950713,109841.676159735
"Carex divulsa",1718255.73146519,51154.8925157568,0.0297714080500322,147252.526727896
"Carex extensa",584742.435668737,50479.5819723101,0.0863278922361423,11910.8989641662
"Carex flacca",2800206.55558019,10051.1681929595,0.00358943813374399,115122.628858445
"Carex gravida",92194.5141210772,33690.1264817014,0.36542441600654,9180.19537950461
"Carex livida",1129387.35674639,11099.0923364627,0.00982753372451206,140.982426449819
"Carex melanostachya",692689.874111761,85896.6294521664,0.124004453742466,7846.0316354849
"Carex mesochorea",40848.3323933056,15644.9981013052,0.383002124803242,6248.02335773538
"Carex muricata",2370996.97153604,322770.355272831,0.136132757294804,5210.07800854171
"Carex nigra",4900701.4160601,71584.0064527588,0.0146068899888842,2023.72676689938
"Carex pallescens",4533692.35044897,258229.905709215,0.0569579684169886,4871.98782020214
"Carex panicea",3470988.83059448,444333.506787113,0.128013522507075,25321.3019486845
"Carex parvispica",17318.1779014407,16916.3385966428,0.976796675315108,3969.67177864294
"Carex pendula",2085479.035647,61459.3114833711,0.0294701171447182,105450.167981809
"Carex pilulifera",2443221.03407121,6973.24425113396,0.0028541192769261,1192.82294561438
"Carex praticola",118171.494164058,14067.5397239868,0.119043427719183,14714.968685095
"Carex punctata",403573.683253268,39312.4686899926,0.0974108826251724,13647.7851836501
"Carex secalina",266169.657657861,68811.9045403019,0.25852647948608,2434.04804842073
"Carex strigosa",843649.943942785,46164.1985983848,0.0547196131877128,5529.65095621392
"Carex sylvatica",2870895.09588295,6936.71812965947,0.00241622138670521,65267.1317876479
"Carlina acaulis",1289890.73707675,84148.459394189,0.0652368894321181,10402.1483123181
"Carlina biebersteinii",2013033.50768565,100906.094444959,0.0501263859045094,48222.0252450237
"Carlina vulgaris",2785975.33498038,34316.7658419903,0.0123176847300524,37869.2515268856
"Carpesium abrotanoides",306392.218897789,9540.17479502454,0.0311371314498267,4198.47722705725
"Carpesium cernuum",397051.146438744,82614.525131628,0.208070234458758,6086.01908891867
